year,type,population,year_placeholder,shinkansen_line,no_station
2016,Female,64993146,2016,Hokuriku,12
2016,Female,64993146,2016,Joetsu,9
2016,Female,64993146,2016,Kyushu,11
2016,Female,64993146,2016,Sanyo,18
2016,Female,64993146,2016,Tohoku,23
2016,Female,64993146,2016,Tokaido,17
2016,Female,64993146,2016,Yamagata,10
2016,Male,62082854,2016,Akita,5
2016,Male,62082854,2016,Hokkaido,3
2016,Male,62082854,2016,Hokuriku,12
2016,Male,62082854,2016,Joetsu,9
2016,Male,62082854,2016,Kyushu,11
2016,Male,62082854,2016,Sanyo,18
2016,Male,62082854,2016,Tohoku,23
2016,Male,62082854,2016,Tokaido,17
2016,Male,62082854,2016,Yamagata,10
2016,Total,127076000,2016,Akita,5
2016,Total,127076000,2016,Hokkaido,3
2016,Total,127076000,2016,Hokuriku,12
2016,Total,127076000,2016,Joetsu,9
2016,Total,127076000,2016,Kyushu,11
2016,Total,127076000,2016,Sanyo,18
2016,Total,127076000,2016,Tohoku,23
2016,Total,127076000,2016,Tokaido,17
2016,Total,127076000,2016,Yamagata,10
2017,Female,64949030,2017,Akita,5
2017,Female,64949030,2017,Hokkaido,3
2017,Female,64949030,2017,Hokuriku,12
2017,Female,64949030,2017,Joetsu,9
2017,Female,64949030,2017,Kyushu,11
2017,Female,64949030,2017,Sanyo,18
2017,Female,64949030,2017,Tohoku,23
2017,Female,64949030,2017,Tokaido,17
2017,Female,64949030,2017,Yamagata,10
2017,Male,62022970,2017,Akita,5
2017,Male,62022970,2017,Hokkaido,3
2017,Male,62022970,2017,Hokuriku,12
2017,Male,62022970,2017,Joetsu,9
2017,Male,62022970,2017,Kyushu,11
2017,Male,62022970,2017,Sanyo,18
2017,Male,62022970,2017,Tohoku,23
2017,Male,62022970,2017,Tokaido,17
2017,Male,62022970,2017,Yamagata,10
2017,Total,126972000,2017,Akita,5
2017,Total,126972000,2017,Hokkaido,3
2017,Total,126972000,2017,Hokuriku,12
2017,Total,126972000,2017,Joetsu,9
2017,Total,126972000,2017,Kyushu,11
2017,Total,126972000,2017,Sanyo,18
2017,Total,126972000,2017,Tohoku,23
2017,Total,126972000,2017,Tokaido,17
2017,Total,126972000,2017,Yamagata,10
