year,shinkansen_line,no_station
1984,tohoku,13
1985,tohoku,16
1986,tohoku,16
1987,tohoku,16
1988,tohoku,16
1989,tohoku,16
1990,tohoku,17
1991,tohoku,18
1992,tohoku,18
1993,tohoku,18
1994,tohoku,18
1995,tohoku,18
1996,tohoku,18
1997,tohoku,18
1998,tohoku,18
1999,tohoku,18
2000,tohoku,18
2001,tohoku,18
2002,tohoku,21
2003,tohoku,21
2004,tohoku,21
2005,tohoku,21
2006,tohoku,21
2007,tohoku,21
2008,tohoku,21
2009,tohoku,21
2010,tohoku,23
2011,tohoku,23
2012,tohoku,23
2013,tohoku,23
2014,tohoku,23
2015,tohoku,23
2016,tohoku,23
1964,tokaido,12
1965,tokaido,12
1966,tokaido,12
1967,tokaido,12
1968,tokaido,12
1969,tokaido,13
1970,tokaido,13
1971,tokaido,13
1972,tokaido,13
1973,tokaido,13
1974,tokaido,13
1975,tokaido,13
1976,tokaido,13
1977,tokaido,13
1978,tokaido,13
1979,tokaido,13
1980,tokaido,13
1981,tokaido,13
1982,tokaido,13
1983,tokaido,13
1984,tokaido,13
1985,tokaido,13
1986,tokaido,13
1987,tokaido,13
1988,tokaido,16
1989,tokaido,16
1990,tokaido,16
1991,tokaido,16
1992,tokaido,16
1993,tokaido,16
1994,tokaido,16
1995,tokaido,16
1996,tokaido,16
1997,tokaido,16
1998,tokaido,16
1999,tokaido,16
2000,tokaido,16
2001,tokaido,16
2002,tokaido,16
2003,tokaido,17
2004,tokaido,17
2005,tokaido,17
2006,tokaido,17
2007,tokaido,17
2008,tokaido,17
2009,tokaido,17
2010,tokaido,17
2011,tokaido,17
2012,tokaido,17
2013,tokaido,17
2014,tokaido,17
2015,tokaido,17
2016,tokaido,17
1964,yamagata,
1965,yamagata,
1966,yamagata,
1967,yamagata,
1968,yamagata,
1969,yamagata,
1970,yamagata,
1971,yamagata,
1972,yamagata,
1973,yamagata,
1974,yamagata,
1975,yamagata,
1976,yamagata,
1977,yamagata,
1978,yamagata,
1979,yamagata,
1980,yamagata,
1981,yamagata,
1982,yamagata,
1983,yamagata,
1984,yamagata,
1985,yamagata,
1986,yamagata,
1987,yamagata,
1988,yamagata,
1989,yamagata,
1990,yamagata,
1991,yamagata,
1992,yamagata,5
1993,yamagata,5
1994,yamagata,5
1995,yamagata,5
1996,yamagata,5
1997,yamagata,5
1998,yamagata,5
1999,yamagata,10
2000,yamagata,10
2001,yamagata,10
2002,yamagata,10
2003,yamagata,10
2004,yamagata,10
2005,yamagata,10
2006,yamagata,10
2007,yamagata,10
2008,yamagata,10
2009,yamagata,10
2010,yamagata,10
2011,yamagata,10
2012,yamagata,10
2013,yamagata,10
2014,yamagata,10
2015,yamagata,10
2016,yamagata,10
